masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
3.35170e+03 2.77500e-08 2.44423e-08 3.37550e-08 2.98072e-08 2.39980e-08 3.80363e-08
2.96100e+03 1.76943e-07 1.48980e-07 2.17539e-07 1.87983e-07 1.52656e-07 2.47531e-07
4.94350e+02 4.58298e-01 4.27674e-01 4.82223e-01 5.24645e-01 3.89562e-01 6.89349e-01
3.27490e+03 3.98756e-08 3.40561e-08 4.73703e-08 4.16958e-08 3.34978e-08 5.60194e-08
3.16950e+03 6.53212e-08 5.57582e-08 7.89492e-08 6.82769e-08 5.43368e-08 8.95934e-08
1.27000e+03 1.72110e-03 1.51164e-03 1.97145e-03 1.84001e-03 1.47610e-03 2.42115e-03
2.94610e+03 1.91108e-07 1.63168e-07 2.29952e-07 2.00350e-07 1.59526e-07 2.63890e-07
2.99190e+03 1.56443e-07 1.28726e-07 1.82236e-07 1.59371e-07 1.27944e-07 2.07587e-07
6.93110e+02 8.42591e-02 7.63700e-02 8.87221e-02 9.12868e-02 7.15573e-02 1.20466e-01
5.80190e+02 2.04361e-01 1.91472e-01 2.24344e-01 2.39172e-01 1.79407e-01 3.05519e-01
2.04710e+03 2.19129e-05 1.89141e-05 2.54924e-05 2.35234e-05 1.83766e-05 3.07895e-05
1.67050e+03 1.74680e-04 1.49790e-04 2.06458e-04 1.81208e-04 1.44071e-04 2.34376e-04
1.81160e+03 7.97144e-05 6.92518e-05 8.93059e-05 8.44549e-05 6.51564e-05 1.09403e-04
1.73930e+03 1.17331e-04 1.02680e-04 1.32256e-04 1.27259e-04 9.51049e-05 1.61478e-04
6.40590e+02 1.26375e-01 1.16188e-01 1.34567e-01 1.45076e-01 1.08151e-01 1.81766e-01
