masses    NLO_data
3.20000e+02 3.58034e+00
1.00000e+02 2.72705e+02
2.20000e+02 1.59693e+01
3.20000e+02 3.61397e+00
1.40000e+02 8.34997e+01
2.00000e+02 2.20743e+01
3.00000e+02 4.61932e+00
3.80000e+02 1.74974e+00
6.00000e+01 1.87836e+03
1.60000e+02 5.06755e+01
2.40000e+02 1.16510e+01
3.40000e+02 2.76596e+00
1.40000e+02 8.41781e+01
2.00000e+02 2.30613e+01
3.00000e+02 4.71058e+00
3.80000e+02 1.75015e+00
6.00000e+01 1.94193e+03
2.00000e+02 2.28846e+01
2.80000e+02 6.33783e+00
3.80000e+02 1.77741e+00
1.20000e+02 1.47522e+02
1.60000e+02 5.29574e+01
2.60000e+02 8.29051e+00
3.60000e+02 2.15717e+00
1.00000e+02 2.84170e+02
1.60000e+02 5.37803e+01
2.60000e+02 8.37915e+00
3.60000e+02 2.22953e+00
1.20000e+02 1.49379e+02
1.80000e+02 3.37032e+01
2.80000e+02 6.29422e+00
3.80000e+02 1.77063e+00
1.00000e+02 2.82125e+02
1.80000e+02 3.52527e+01
2.80000e+02 6.17465e+00
3.60000e+02 2.16414e+00
1.20000e+02 1.49123e+02
1.80000e+02 3.43053e+01
2.60000e+02 8.03206e+00
3.60000e+02 2.18639e+00
1.00000e+02 2.78246e+02
1.60000e+02 5.31998e+01
